L,h,l,center.1.,center.2.,center.3.,oriant.1.,oriant.2.,Stuck
20,25,23,33,219,43,160,36,0
15,20,18,187,46,37,99,20,0
10,15,13,24,14,17,9,144,0
10,15,13,62,247,2,158,66,0
5,10,8,128,11,39,108,92,0
5,10,8,102,101,24,149,58,0
5,10,8,63,127,16,68,104,0
5,10,8,109,136,40,153,60,0
3,5,4,89,72,6,84,149,0
3,5,4,103,359,8,126,106,0
3,5,4,96,293,25,139,129,0
3,5,4,179,41,16,69,9,0
3,5,4,11,165,16,58,71,0
3,5,4,130,278,28,34,172,0
3,5,4,128,189,25,115,139,0
3,5,4,103,71,40,14,128,0
3,5,4,137,189,4,139,103,0
1,3,2,2,84,7,149,177,0
1,3,2,180,32,13,129,135,0
1,3,2,18,209,16,25,105,0
1,3,2,44,2,12,40,103,0
1,3,2,78,306,6,123,140,0
1,3,2,78,295,5,73,160,0
1,3,2,31,262,3,147,155,0
1,3,2,8,113,22,139,87,0
1,3,2,193,71,35,22,114,0
1,3,2,96,352,15,161,20,0
1,3,2,76,356,25,148,35,0
1.13333333333,1,1.03333333333,188,316,8,35,53,0
1.13333333333,1,1.03333333333,66,13,33,21,89,0
1.13333333333,1,1.03333333333,45,25,37,136,106,0
1.13333333333,1,1.03333333333,183,223,1,13,13,0
1.13333333333,1,1.03333333333,125,174,38,112,170,0
1.13333333333,1,1.03333333333,74,273,27,141,136,0
1.13333333333,1,1.03333333333,40,308,24,32,160,0
1.13333333333,1,1.03333333333,113,291,31,51,175,0
1.13333333333,1,1.03333333333,172,232,16,53,113,0
1.13333333333,1,1.03333333333,185,156,38,129,146,0
1.13333333333,1,1.03333333333,92,162,37,34,41,0
1.13333333333,1,1.03333333333,122,128,3,87,125,0
1.13333333333,1,1.03333333333,39,70,4,129,154,0
1.13333333333,1,1.03333333333,147,182,36,32,141,0
1.13333333333,1,1.03333333333,29,311,12,118,109,0
