x,y,z,ID,Gi,Hight,Emerge,Hit,Hit.H,Hit.oriant,Hit.size,Hit.stik
40,110,39,1,0,39,0,0,0,55,0.0,1
120,118,39,2,0,39,0,0,0,55,0.0,1
109,295,39,3,0,39,0,0,0,55,0.0,1
196,284,39,4,0,39,0,0,0,55,0.0,1
100,142,39,5,0,39,0,0,0,55,0.0,1
8,45,39,6,0,39,0,0,0,55,0.0,1
25,167,39,7,0,39,0,0,0,55,0.0,1
33,297,39,8,0,39,0,0,0,55,0.0,1
12,145,39,9,0,39,0,0,0,55,0.0,1
11,323,39,10,0,39,0,0,0,55,0.0,1
134,71,39,11,0,39,0,0,0,55,0.0,1
3,311,39,12,0,39,0,0,0,55,0.0,1
93,304,39,13,0,39,0,0,0,55,0.0,1
179,112,39,14,0,39,0,0,0,55,0.0,1
37,99,39,15,0,39,0,0,0,55,0.0,1
60,85,39,16,0,39,0,0,0,55,0.0,1
143,168,39,17,0,39,0,0,0,55,0.0,1
41,133,39,18,0,39,0,0,0,55,0.0,1
115,9,39,19,0,39,0,0,0,55,0.0,1
173,279,39,20,0,39,0,0,0,55,0.0,1
151,210,39,21,0,39,0,0,0,55,0.0,1
180,84,39,22,0,39,0,0,0,55,0.0,1
182,301,39,23,0,39,0,0,0,55,0.0,1
143,164,39,24,0,39,0,0,0,55,0.0,1
61,52,39,25,0,39,0,0,0,55,0.0,1
43,326,39,26,0,39,0,0,0,55,0.0,1
122,197,39,27,0,39,0,0,0,55,0.0,1
90,72,39,28,0,39,0,0,0,55,0.0,1
7,186,39,29,0,39,0,0,0,55,0.0,1
172,201,39,30,0,39,0,0,0,55,0.0,1
81,232,39,31,0,39,0,0,0,55,0.0,1
150,307,39,32,0,39,0,0,0,55,0.0,1
5,231,39,33,0,39,0,0,0,55,0.0,1
11,278,39,34,0,39,0,0,0,55,0.0,1
123,213,39,35,0,39,0,0,0,55,0.0,1
100,55,39,36,0,39,0,0,0,55,0.0,1
173,268,39,37,0,39,0,0,0,55,0.0,1
196,125,39,38,0,39,0,0,0,55,0.0,1
148,127,39,39,0,39,0,0,0,55,0.0,1
5,48,39,40,0,39,0,0,0,55,0.0,1
120,250,39,41,1,49.6581788624,y,0,0,55,0.0,1
142,245,39,42,0,39,0,0,0,55,0.0,1
156,50,39,43,0,39,0,0,0,55,0.0,1
23,81,39,44,0,39,0,0,0,55,0.0,1
122,310,39,45,0,39,0,0,0,55,0.0,1
105,130,39,46,0,39,0,0,0,55,0.0,1
11,27,39,47,0,39,0,0,0,55,0.0,1
195,33,39,48,0,39,0,0,0,55,0.0,1
16,86,39,49,0,39,0,0,0,55,0.0,1
195,312,39,50,0,39,0,0,0,55,0.0,1
143,62,39,51,0,39,0,0,0,55,0.0,1
97,360,39,52,0,39,0,0,0,55,0.0,1
178,190,39,53,0,39,0,0,0,55,0.0,1
137,317,39,54,0,39,0,0,0,55,0.0,1
7,27,39,55,0,39,0,0,0,55,0.0,1
73,280,39,56,0,39,0,0,0,55,0.0,1
104,332,39,57,1,45.7743828275,y,0,0,55,0.0,1
126,251,39,58,0,39,0,0,0,55,0.0,1
61,136,39,59,0,39,0,0,0,55,0.0,1
178,110,39,60,0,39,0,0,0,55,0.0,1
17,199,39,61,0,39,0,0,0,55,0.0,1
110,275,39,62,0,39,0,0,0,55,0.0,1
165,146,39,63,0,39,0,0,0,55,0.0,1
59,146,39,64,0,39,0,0,0,55,0.0,1
106,147,39,65,0,39,0,0,0,55,0.0,1
196,217,39,66,0,39,0,0,0,55,0.0,1
77,51,39,67,0,39,0,0,0,55,0.0,1
112,227,39,68,0,39,0,0,0,55,0.0,1
