i,d,STTi,STTid,Gi,TTd,l.t,DG,HLi,Emerge,RanCrust,RanWat
1,0,80.0,0,0,0,0,0,1,0,0.9,0.3
2,0,50.0,0,0,0,0,0,1,0,0.9,0.3
3,0,80.0,0,0,0,0,0,1,0,0.9,0.3
4,0,80.0,0,0,0,0,0,1,0,0.9,0.3
5,0,80.0,0,0,0,0,0,1,0,0.9,0.25
6,0,80.0,0,0,0,0,0,1,0,0.9,0.3
7,0,80.0,0,0,0,0,0,1,0,0.9,0.3
8,0,120.0,0,0,0,0,0,1,0,0.9,0.25
9,0,120.0,0,0,0,0,0,1,0,0.9,0.3
10,0,120.0,0,0,0,0,0,1,0,0.9,0.3
11,0,80.0,0,0,0,0,0,1,0,0.9,0.3
12,0,120.0,0,0,0,0,0,1,0,0.9,0.2
13,0,80.0,0,0,0,0,0,1,0,0.9,0.25
14,0,80.0,0,0,0,0,0,1,0,0.9,0.3
15,0,120.0,0,0,0,0,0,1,0,0.9,0.3
16,0,350.0,0,0,0,0,0,1,0,0.9,0.3
17,0,180.0,0,0,0,0,0,1,0,0.9,0.2
18,0,50.0,0,0,0,0,0,1,0,0.9,0.2
19,0,120.0,0,0,0,0,0,1,0,0.9,0.3
20,0,180.0,0,0,0,0,0,1,0,0.9,0.3
21,0,80.0,0,0,0,0,0,1,0,0.9,0.3
22,0,120.0,0,0,0,0,0,1,0,0.9,0.25
23,0,500.0,0,0,0,0,0,1,0,0.9,0.3
24,0,80.0,0,0,0,0,0,1,0,0.9,0.3
25,0,250.0,0,0,0,0,0,1,0,0.9,0.3
26,0,80.0,0,0,0,0,0,1,0,0.9,0.3
27,0,250.0,0,0,0,0,0,1,0,0.9,0.1
28,0,120.0,0,0,0,0,0,1,0,0.9,0.3
29,0,80.0,0,0,0,0,0,1,0,0.9,0.3
30,0,50.0,0,0,0,0,0,1,0,0.9,0.25
31,0,120.0,0,0,0,0,0,1,0,0.9,0.25
32,0,80.0,0,0,0,0,0,1,0,0.9,0.3
33,0,80.0,0,0,0,0,0,1,0,0.9,0.3
34,0,250.0,0,0,0,0,0,1,0,0.9,0.3
35,0,80.0,0,0,0,0,0,1,0,0.9,0.25
36,0,99999.0,0,0,0,0,0,1,0,0.9,0.3
37,0,350.0,0,0,0,0,0,1,0,0.9,0.3
38,0,99999.0,0,0,0,0,0,1,0,0.9,0.3
39,0,50.0,0,0,0,0,0,1,0,0.9,0.3
